log
0.1249
0.3010
0.1249
0.1761
0.3010
0.2218
0.2218
0.0000
0.3010
0.0000
0.3010
0.3010
0.2218
0.1249
0.0000
0.1249
0.0000
0.1249
0.0000
0.0000
0.2218
0.0000
0.1249
0.1249
0.1249
0.1249
0.1249
0.0000
0.0000
0.3010
0.3010
0.3010
0.3010
0.1249
0.0000
0.2218
0.1249
0.3010
0.1249
0.3010
0.1249
0.1249
0.1249
0.2218
0.2218
0.1249
0.0000
0.3010
0.2218
0.2218
0.3010
0.0000
0.3010
0.3010
0.1761
0.3010
0.0000
0.0000
0.2218
0.1249
0.1761
0.3010
0.2218
0.0000
0.0000
0.1761
0.1249
0.1249
0.2218
0.0000
0.1249
0.1761
0.1249
0.1249
0.2218
0.3010
0.0000
0.2218
0.0000
0.2218
0.3010
0.2218
0.2218
0.2218
0.0000
0.0000
0.3010
0.1249
0.2218
0.3010
0.0000
0.1761
0.3010
0.0000
0.2218
0.0000
0.1249
0.1249
0.2218
0.0000
0.1761
0.0000
0.0000
0.0000
0.2218
0.1249
0.0000
0.0000
0.0000
0.0000
0.3010
0.0000
0.1249
0.0000
0.3010
0.1249
0.0000
0.2218
0.3010
0.0000
0.1249
0.0000
0.0000
0.0000
0.0000
0.0000
0.3010
0.1249
0.0000
0.2218
0.0000
0.2218
0.3010
0.2218
0.0000
0.3010
0.1249
0.0000
0.1249
0.1249
0.0000
0.1249
0.3010
0.0000
0.1761
0.3010
0.2218
0.1249
0.2218
0.3010
0.0000
0.2218
0.3010
0.1249
0.1249
0.2218
0.3010
0.2218
0.3010
0.3010
0.2218
0.2218
0.3010
0.2218
0.0000
0.3010
0.1249
0.2218
0.2218
0.0000
0.3010
0.0000
