First,Second,Third
313.788,101.515,273.09
897.097,297.243,573.757
213.944,409.067,28.313
1500.332,45.474,38.932
307.36,336.005,207.802
26.713,73.737,16.05
301.529,230.176,22.329
653.661,111.133,152.337
341.296,219.527,109.113
341.944,69.926,42.437
156.818,897.319,29.643
1786.789,715.722,48.807
202.809,245.771,81.221
246.37,380.12,178.303
218.785,400.552,401.687
332.839,10.941,214.716
751.868,205.525,403.365
185.99,347.015,135.838
36.554,68.29,271.678
314.499,158.352,61.088
370.394,116.81,139.63
401.187,133.827,199.696
161.304,83.256,25.959
63.303,43.548,57.46
162.703,120.98,212.958
34.384,239.593,54.505
762.455,393.677,382.205
289.407,87.353,79.514
1761.463,155.946,13.34
215.101,28.866,156.723
1094.405,336.803,50.997
37.221,161.978,46.934
509.258,62.924,75.16
112.253,293.515,88.429
758.043,29.518,207.714
223.511,162.067,469.867
696.333,178.608,32.386
411.585,347.587,31.52
109.077,357.292,179.392
1387.965,96.217,36.666
527.455,90.307,242.435
979.529,113.586,54.648
136.51,184.244,190.762
56.677,137.637,18.414
733.897,42.444,53.594
333.353,454.778,187.131
146.78,23.31,90.757
71.758,49.661,277.459
495.0,36.188,82.128
168.751,495.745,78.697
180.514,51.993,74.288
165.663,174.051,156.319
568.684,247.431,400.567
171.902,189.639,893.468
512.068,70.195,97.675
179.151,64.763,66.995
382.774,28.902,155.867
76.971,117.974,61.404
303.56,812.563,319.945
728.714,241.752,125.746
170.615,358.012,411.671
618.564,80.592,219.426
609.114,46.677,423.346
346.807,20.509,69.812
134.739,127.625,157.556
457.115,25.81,43.053
184.028,185.829,52.631
295.419,61.868,163.68
98.38,91.932,93.596
263.736,780.171,100.651
96.628,136.807,19.878
325.249,124.047,162.897
217.673,222.434,44.886
540.387,21.95,1223.722
134.787,49.55,15.568
1596.258,325.352,980.293
73.185,121.271,168.931
119.002,54.318,26.898
73.704,68.638,82.284
909.087,169.062,406.003
464.69,107.294,230.059
1651.735,108.244,131.475
311.653,563.106,743.236
551.607,275.95,676.595
321.888,71.867,135.861
692.995,266.012,146.063
621.286,89.735,161.83
52.092,17.531,71.447
1123.426,622.23,182.433
625.641,348.022,27.392
1472.631,178.332,162.811
134.605,72.435,401.382
189.557,195.175,111.313
1210.426,136.74,86.696
1311.499,133.653,406.797
523.733,400.829,34.327
82.248,42.967,120.882
112.708,1235.054,37.758
75.641,46.542,116.372
300.289,144.533,49.012
269.434,29.267,202.758
36.338,73.115,51.165
150.069,22.921,66.076
353.288,13.542,798.8
189.265,57.737,28.073
454.325,82.919,505.993
100.98,115.596,208.856
857.419,331.563,321.786
19.179,545.334,165.496
89.585,294.143,157.11
316.631,68.877,263.855
619.04,261.489,102.206
689.023,79.019,131.764
338.16,629.381,489.023
457.352,74.129,108.849
209.454,37.035,639.873
372.758,35.158,283.556
122.11,101.207,998.499
181.427,491.958,401.846
657.345,593.431,789.21
131.666,484.88,8.608
1578.346,40.241,728.158
544.605,293.586,98.229
360.085,154.156,28.78
31.192,424.268,13.06
104.515,307.802,53.939
1185.831,182.377,32.867
69.461,68.516,69.819
433.921,199.913,44.401
1009.748,172.179,767.591
253.048,57.861,115.529
95.486,167.277,48.53
76.815,44.663,68.973
1464.193,113.828,87.685
116.247,62.588,78.843
680.163,17.599,36.838
865.362,149.874,72.757
907.22,87.511,191.071
133.081,54.082,73.344
213.494,78.484,207.438
246.538,46.031,542.749
317.604,53.056,152.728
578.773,67.351,428.379
1214.714,50.66,267.229
212.579,136.319,117.532
505.988,199.917,69.469
350.722,39.373,122.531
55.848,630.124,150.594
134.743,193.355,38.282
1040.974,499.398,55.721
700.279,190.609,39.571
1363.119,115.046,140.32
65.709,180.612,149.014
1427.681,112.182,127.729
1207.872,43.871,53.009
119.154,95.738,143.136
221.199,1558.637,64.305
177.237,25.471,47.458
385.276,384.394,1432.884
60.097,108.729,84.695
253.392,70.065,536.836
1715.618,58.557,49.21
412.397,181.276,41.297
655.397,50.253,46.552
365.402,98.19,136.615
1016.673,121.94,93.053
1435.459,88.412,38.447
240.739,75.782,97.366
180.386,246.428,39.737
828.998,36.841,59.276
366.081,39.904,52.37
76.67,183.125,32.896
295.67,422.249,754.688
167.505,238.539,102.053
715.777,177.425,33.953
255.247,367.021,208.077
383.762,156.173,224.278
536.347,85.689,174.906
65.456,721.553,83.263
159.177,161.804,114.767
382.821,160.397,557.338
131.649,126.954,424.476
257.888,148.308,107.474
38.436,137.557,219.977
265.642,543.911,36.873
150.706,570.195,88.794
92.648,97.322,140.081
591.491,755.504,177.318
116.011,60.336,22.878
1127.201,194.521,132.661
235.629,66.66,280.956
1723.403,1132.727,47.324
599.167,187.594,62.416
1106.631,51.504,354.098
1580.332,125.354,175.561
1261.267,18.437,59.519
781.193,236.382,55.84
428.316,10.257,34.138
76.474,136.677,289.359
850.044,75.205,211.888
883.021,160.775,146.897
727.105,859.456,271.865
1184.616,155.715,665.286
871.109,319.88,197.078
1672.651,353.044,27.288
1013.733,111.657,56.92
416.689,97.721,51.078
193.623,236.816,26.853
94.867,63.993,89.899
12.52,1299.613,79.952
546.847,193.162,142.893
75.968,507.577,153.361
524.952,32.139,106.648
789.13,205.395,61.712
1741.613,357.664,32.913
189.976,13.567,139.953
257.502,63.341,42.786
232.358,231.599,116.885
468.788,120.483,207.817
1048.84,97.978,76.589
298.164,35.956,121.226
118.5,106.757,35.678
160.161,372.623,36.941
96.139,36.899,53.735
159.159,147.598,30.999
61.814,189.336,42.04
281.27,150.402,87.005
45.088,1070.735,839.31
103.813,127.617,17.063
122.258,43.89,86.981
525.901,137.424,110.848
142.285,115.285,111.539
505.644,63.566,11.659
681.99,191.562,137.306
507.941,35.929,479.613
304.389,601.871,765.661
1355.471,67.439,77.06
485.485,18.794,157.31
701.523,182.93,68.232
936.954,262.616,261.288
44.435,114.741,30.63
561.377,116.603,81.599
298.701,101.428,280.539
673.651,83.086,87.008
645.326,57.665,97.788
270.361,62.19,54.289
229.124,111.521,376.377
42.72,102.587,68.937
556.877,155.051,46.086
210.295,67.977,738.068
163.982,89.971,49.968
183.076,97.905,88.322
227.033,228.41,68.658
437.18,65.871,107.151
274.026,32.752,30.314
119.549,143.716,17.256
107.23,138.606,66.594
963.765,299.12,120.264
154.099,31.716,16.914
357.326,57.171,1158.177
365.33,257.01,17.87
87.909,71.584,497.953
392.801,98.2,554.525
974.109,284.914,62.66
286.497,334.45,32.373
407.161,58.669,133.529
358.871,351.594,105.46
491.225,330.952,234.676
161.034,58.616,184.09
488.91,207.137,87.86
619.417,163.628,169.926
267.697,68.815,142.079
225.017,59.347,550.705
683.919,65.954,136.954
169.98,85.887,337.161
124.352,89.995,249.747
187.228,39.194,184.804
44.015,252.224,127.505
40.172,134.786,202.914
179.757,60.418,29.302
320.89,58.225,138.443
1692.577,253.739,90.86
158.598,54.885,8.591
158.2,364.903,19.693
102.054,375.019,153.437
1268.803,30.52,118.237
1255.645,107.972,165.646
770.273,177.438,44.481
487.487,131.759,158.629
1061.142,155.23,383.493
434.338,142.48,100.69
562.071,281.652,1267.79
661.25,29.052,504.598
1689.142,96.562,138.272
859.216,308.364,89.527
161.597,30.524,254.366
77.129,86.033,133.512
200.373,287.89,321.694
140.758,36.106,298.09
122.458,59.859,277.772
82.36,36.125,157.973
189.091,67.645,45.365
44.374,129.026,45.778
245.995,514.987,42.523
261.831,471.064,232.347
110.698,331.934,583.936
392.32,251.679,27.11
937.126,163.87,110.913
199.989,234.36,313.285
154.478,158.221,142.982
326.619,202.217,9.881
788.989,99.997,154.752
218.174,37.588,79.902
167.383,333.886,57.975
68.049,1095.039,273.327
312.308,267.671,116.668
48.904,19.572,193.285
21.777,57.943,245.208
1582.4,33.857,208.208
222.366,41.346,143.488
1282.155,192.44,188.25
478.247,87.859,170.274
35.931,467.07,70.601
101.541,133.363,136.296
121.371,275.69,65.098
1246.349,180.47,610.45
62.494,45.4,63.793
390.31,179.16,72.289
617.83,86.169,99.276
332.306,165.421,173.828
521.598,365.17,140.855
375.625,66.453,76.08
453.738,151.045,103.679
62.549,130.617,104.027
475.489,271.385,157.86
162.045,99.036,100.159
327.826,409.852,53.861
747.064,43.979,52.973
536.006,154.658,194.676
217.136,108.72,148.429
307.598,29.997,66.228
576.313,676.969,79.314
614.162,66.955,177.757
319.271,44.102,82.245
164.588,69.895,85.072
233.468,324.76,365.074
734.967,72.503,92.461
193.918,15.057,95.876
222.809,197.891,59.896
362.103,74.342,192.867
270.141,43.235,119.59
198.597,306.557,128.777
965.105,66.566,329.086
655.324,453.889,83.463
372.333,352.132,94.904
1289.088,78.607,185.764
751.492,123.96,48.919
962.568,73.304,45.873
117.952,279.412,120.968
498.361,47.036,377.033
309.258,111.173,42.038
212.531,108.787,52.807
116.318,287.865,61.028
1787.915,31.516,96.42
740.695,563.712,44.056
513.945,676.39,67.774
945.317,1116.967,190.431
1273.045,84.939,73.926
1688.124,896.985,103.652
405.796,536.333,340.544
238.474,284.983,89.601
373.543,124.138,576.51
361.03,114.966,36.785
215.227,210.815,83.189
486.164,352.613,63.69
168.478,110.312,50.22
252.955,50.171,22.239
254.865,150.69,109.108
416.687,690.463,78.228
114.351,253.628,54.681
259.476,300.561,188.032
66.393,100.866,661.694
584.64,438.379,123.664
